24,正面管教(修订版),总体,https://www.amazon.cn/dp/B01HNLEA8G/ref=zg_bs_books_24/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,简·尼尔森 (Jane Nelsen),4.5,289,https://www.amazon.cn/product-reviews/B01HNLEA8G/ref=zg_bs_books_cr_24/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,20.90
25,小屁孩树屋历险记(套装共3册)一套让孩子们“脑洞…,总体,https://www.amazon.cn/dp/B00XJ00NPK/ref=zg_bs_books_25/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,安迪·格里菲思,4.4,141,https://www.amazon.cn/product-reviews/B00XJ00NPK/ref=zg_bs_books_cr_25/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,53.76
26,作家榜经典:小王子(法国政府勋章诗人译本·全新未…,总体,https://www.amazon.cn/dp/B06XT8N3YB/ref=zg_bs_books_26/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,安托万·德·圣-埃克苏佩里 (A …,4.7,99,https://www.amazon.cn/product-reviews/B06XT8N3YB/ref=zg_bs_books_cr_26/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,25.47
27,山川岁月长,总体,https://www.amazon.cn/dp/B07GW3N4N7/ref=zg_bs_books_27/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,蒋勋,5.0,15,https://www.amazon.cn/product-reviews/B07GW3N4N7/ref=zg_bs_books_cr_27/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,31.37
28,山河故人,总体,https://www.amazon.cn/dp/B07C5H8DTP/ref=zg_bs_books_28/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,汪曾祺,4.8,6,https://www.amazon.cn/product-reviews/B07C5H8DTP/ref=zg_bs_books_cr_28/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,27.39
29,那不勒斯四部曲(之一):我的天才女友,总体,https://www.amazon.cn/dp/B01NAJCWWS/ref=zg_bs_books_29/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,埃莱娜·费兰特 (Elena F …,4.1,50,https://www.amazon.cn/product-reviews/B01NAJCWWS/ref=zg_bs_books_cr_29/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,32.50
30,慢煮生活,总体,https://www.amazon.cn/dp/B073LBRNV2/ref=zg_bs_books_30/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,汪曾祺,4.6,83,https://www.amazon.cn/product-reviews/B073LBRNV2/ref=zg_bs_books_cr_30/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,22.40
31,培养孩子好性格的80个经典维尼故事(第2版),总体,https://www.amazon.cn/dp/B001L8KAEG/ref=zg_bs_books_31/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,美国迪士尼公司,4.6,4991,https://www.amazon.cn/product-reviews/B001L8KAEG/ref=zg_bs_books_cr_31/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,23.80
32,涛动周期论:经济周期决定人生财富命运,总体,https://www.amazon.cn/dp/B077R2WHV5/ref=zg_bs_books_32/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,周金涛,4.6,11,https://www.amazon.cn/product-reviews/B077R2WHV5/ref=zg_bs_books_cr_32/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,72.10
33,(进口原版) 小猪拇指偶布书(Little Scholostic系列…,总体,https://www.amazon.cn/dp/0545030382/ref=zg_bs_books_33/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,Scholastic,3.9,3,https://www.amazon.cn/product-reviews/0545030382/ref=zg_bs_books_cr_33/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,22.50
34,东南园墅,总体,https://www.amazon.cn/dp/B07KBSX9QN/ref=zg_bs_books_34/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,童寯,,,,58.56
35,解忧杂货店,总体,https://www.amazon.cn/dp/B00JZ96ZI8/ref=zg_bs_books_35/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,东野圭吾,4.7,11262,https://www.amazon.cn/product-reviews/B00JZ96ZI8/ref=zg_bs_books_cr_35/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,31.40
36,见识,总体,https://www.amazon.cn/dp/B0794JYPBR/ref=zg_bs_books_36/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,吴军,4.1,56,https://www.amazon.cn/product-reviews/B0794JYPBR/ref=zg_bs_books_cr_36/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,36.75
37,手绘版儿童科普书:幼儿十万个为什么(套装共7册),总体,https://www.amazon.cn/dp/B07F9GKTCQ/ref=zg_bs_books_37/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,漫果文化,4.3,108,https://www.amazon.cn/product-reviews/B07F9GKTCQ/ref=zg_bs_books_cr_37/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,55.44
38,那不勒斯四部曲(之四):失踪的孩子,总体,https://www.amazon.cn/dp/B07DL83XBX/ref=zg_bs_books_38/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,埃莱娜·费兰特,4.4,9,https://www.amazon.cn/product-reviews/B07DL83XBX/ref=zg_bs_books_cr_38/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,48.80
